Data,Ticker,Prezzo_In,Prezzo_Attuale,Perf_Stock,Perf_Bench,Alpha,Score,Status,Index
2026-04-14,UCG.MI,70.05,70.05,0.0%,0.0%,0.0%,4,MANTENERE,^STOXX50E
2026-04-14,MC.PA,474.7,474.45,-0.05%,0.0%,-0.05%,4,MANTENERE,^STOXX50E
